id	nome	caminho_imagem	sobre_faculdade	sobre_campus	sobre_ead	sobre_presencial	recomendacao_porcentagem	preco_curso_mais_barato
1	Atualiza	/img/parceiros/Atualiza.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	9	60
2	Batista	/img/parceiros/Batista.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	8	80
3	Cairu	/img/parceiros/Cairu.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	7	70
12	UniESPG	/img/parceiros/SantissimoSacramento.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	8	83
4	Centro Universo Salvador	/img/parceiros/Universo.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	8	75
5	Colégio Acadêmico	/img/parceiros/ColegioAcademico.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	8	82
6	CPET	/img/parceiros/CPET.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	9	84
7	Dimensão Max	/img/parceiros/DimensaoMax.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	7	70
8	EduTec	/img/parceiros/EduTec.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	6	85
9	Fatec	/img/parceiros/Fatec.png	A Universidade Unifatecie é uma renomada instituição de ensino superior, reconhecida por sua excelência acadêmica e compromisso com a formação de profissionais qualificados. Com uma ampla oferta de cursos em diversas áreas do conhecimento, a Unifatecie destaca-se por sua infraestrutura moderna, corpo docente qualificado e ambiente propício ao aprendizado.	O campus da Universidade Unifatecie é um local dinâmico e acolhedor, projetado para proporcionar uma experiência acadêmica enriquecedora. Com salas de aula equipadas, laboratórios de última geração e biblioteca com vasto acervo, o campus oferece aos estudantes um ambiente propício ao estudo e à pesquisa.	Na modalidade EaD (Educação a Distância), a maior parte das atividades é realizada online, com encontros presenciais pontuais para provas e atividades práticas. Esses encontros podem ocorrer com frequência mensal, trimestral ou semestral, ou mesmo apenas uma vez ao final do curso para a apresentação do trabalho de conclusão. Essa abordagem flexível permite aos estudantes conciliar os estudos com outras responsabilidades, oferecendo conveniência e adaptabilidade aos diferentes perfis de alunos.	Alguma descrição sobre o presencial	8	70
